Title,Company,Location,Salary
Sr. Software Engineer,MATRIX SYSTEMS & TECHNOLOGIES INC,"Annapolis, MD","$75,000 - $110,000 a year"
Software Engineer,PayPal,"San Jose, CA","$60,900 - $147,400 a year"
Software Development Manager,Uline,"Pleasant Prairie, WI","$121,000 - $185,000 a year"
Software Engineer,SLPT Global Pump Group,"Warren, MI","$80,000 - $110,000 a year"
Software Engineer,Quest Analytics,"Overland Park, KS",Salary not listed
Software Engineer,Nuix,"Pittsburgh, PA",Salary not listed
Sr. Flutter Mobile Engineer,Apollo Technology Solutions LLC,"Charlotte, NC",Salary not listed
Software Engineer II,FloQast,Remote,"$110,000 - $145,000 a year"
Software Developer 2,"Edgewater Federal Solutions, Inc.","Los Alamos, NM",Salary not listed
Software Engineer,Ford Motor Company,"Dearborn, MI",Salary not listed
"Associate, C# / .NET Dev",Morgan Stanley,"Alpharetta, GA","$153,000 a year"
Senior Oracle PL / SQL Developer,Uline,"Pleasant Prairie, WI","$96,000 - $148,000 a year"
C++ Software Engineer-Federated Search (FULLY REMOTE),Splunk,Colorado,"$117,120 - $201,300 a year"
Full Stack Engineer,Andium,Remote,Salary not listed
Full Stack Developer,Life Point Law,"Federal Way, WA","$125,038 - $135,684 a year"
Aartificial Intelligence Developer,Prolim Global Corporation,"Lansing, MI",$60 - $65 an hour
Junior Software Engineer,"StrongMind, Inc","Chandler, AZ",Salary not listed
"Senior Software Engineer, Data Platform",Sprinter Health,"Menlo Park, CA","$160,000 - $195,000 a year"
"Senior Software Engineer - Integration (ONSITE, IN)",Allied Solutions,"Carmel, IN",Salary not listed
"Software Engineer, Entry",Amentum,"Kennedy Space Center, FL",Salary not listed
Software Consultant - AI Trainer,DataAnnotation,Remote,From $40 an hour
Software Engineer,Harman International,California,"$82,500 - $121,000 a year"
Embedded Security Software Engineer II - Gskit,Raytheon,"Tucson, AZ","$66,000 - $130,000 a year"
Software Development Team Lead - Java,Uline,"Pleasant Prairie, WI","$121,000 - $160,000 a year"
Angular Developer,"Stefanini, Inc","Dearborn, MI",$69 - $74 an hour
Software Designer - AI Trainer,DataAnnotation,"Islip, NY",From $40 an hour
"Staff Software Engineer, Flutter",SoFi,"San Francisco Bay Area, CA",Salary not listed
Software Engineer,ITResonance,"Naperville, IL",Salary not listed
Senior level Software Engineer,Powersports Data Solutions,"Charlotte, NC",Salary not listed
Software Engineer I (On-Site),Avenu Insights & Analytics,"Stroudsburg, PA",Salary not listed
AI Software Engineer,platFlow.ai,"Palo Alto, CA","$146,854 - $400,000 a year"
Staff Software Engineer,Disney,"Burbank, CA","$152,200 - $204,100 a year"
Software Engineer Co-Op,Teledyne Technologies Inc.,"Chestnut Ridge, NY","$49,300 - $65,700 a year"
Software Engineer,Tackle.io,Remote,"$87,000 - $108,000 a year"
Software Engineer,Northwestern Mutual,"Franklin, WI","$108,568 - $189,540 a year"
Software Engineer,Lowe's,"Charlotte, NC","$75,300 - $143,100 a year"
Front-End Developer,Jacobi Robotics,Remote,$20 - $40 an hour
Sr Full Stack Software Engineer,Allstate,United States,"$78,600 - $142,275 a year"
Deployment Engineer,GadellNet,"St. Louis, MO","$45,000 - $55,000 a year"
"Software Developer, Junior",Booz Allen,"Charleston, SC","$51,700 - $106,000 a year"
Software Engineer II,"Pathward, N.A.","Sioux Falls, SD","$69,098.54 - $127,614.10 a year"
Software Development Engineer in Test,Adobe,"San Jose, CA","$113,400 - $206,300 a year"
Sr. Azure Middleware Developer - Software Engineer,Subaru of America,"Camden, NJ","$82,900 - $130,000 a year"
Software Engineer,SLPT Global Pump Group,"Warren, MI","$80,000 - $110,000 a year"
"Engineer II, Software",Badger Meter,"Milwaukee, WI",Salary not listed
Software Engineer,"Hottinger, Bruel & Kjaer",Indiana,Salary not listed
Software Engineer 2,"Garmin International, Inc.","Olathe, KS",Salary not listed
Software Engineer (Remote),Frontdoor,United States,"$80,000 - $100,000 a year"
IT Developer,PGM TEK,"New York, NY",$40 - $45 an hour
Software Engineer,Frontline Wildfire Defense,California,"$100,000 - $160,000 a year"
Principal Software Engineer,Liberty Mutual,"Columbus, OH","$131,830 - $201,900 a year"
"Java Software Engineer, Support",Lender Price,Remote,"$75,000 - $140,000 a year"
Associate Software Engineer,Relias,"Morrisville, NC",Salary not listed
Software Engineer Advanced,Siemens,"Charlotte, NC","$101,200 - $182,200 a year"
Associate Software Engineer,"Park Place Technologies, LLC","Highland Heights, OH",Salary not listed
Software Engineer II,Mastercard,"O'Fallon, MO","$92,000 - $147,000 a year"
Software Engineer,Creative Global Consulting,"Annapolis, MD",$40 - $50 an hour
Software Engineer,Shipment Trackers Inc,"York, PA","$85,000 - $100,000 a year"
Software Engineer (Freelance),Javonica,"Centreville, VA",Up to $30.56 an hour
"Software Engineer III, Full Stack, YouTube",YouTube,"Mountain View, CA","$136,000 - $200,000 a year"
Frontend Engineer for AI,G2i Inc.,Remote,Salary not listed
